# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkHTJ2KFairDecomp/MIC/RG1-14        	      10	  29189133 ns/op	 246.61 MB/s	         6.865 orig-MB	         1.698 ratio	33013782 B/op	      10 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/RG1-14      	      10	  21498550 ns/op	 334.83 MB/s	         6.865 orig-MB	         1.631 ratio	 7200768 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/RG2-14        	      10	  19813662 ns/op	 380.18 MB/s	         7.184 orig-MB	         4.230 ratio	28423212 B/op	      12 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/RG2-14      	      10	  20099746 ns/op	 374.77 MB/s	         7.184 orig-MB	         4.316 ratio	 7536640 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/RG3-14        	      10	  15100400 ns/op	 410.27 MB/s	         5.908 orig-MB	         6.080 ratio	22500352 B/op	      13 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/RG3-14      	      10	  14368592 ns/op	 431.16 MB/s	         5.908 orig-MB	         6.989 ratio	 6201344 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/SC1-14        	      10	  24685908 ns/op	 412.65 MB/s	         9.715 orig-MB	         3.712 ratio	33517568 B/op	      11 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/SC1-14      	      10	  29133133 ns/op	 349.66 MB/s	         9.715 orig-MB	         3.850 ratio	10190848 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/XA1-14        	      10	   5878400 ns/op	 356.76 MB/s	         2.000 orig-MB	         5.010 ratio	10717696 B/op	      13 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/XA1-14      	      10	   5999654 ns/op	 349.55 MB/s	         2.000 orig-MB	         4.883 ratio	 2097163 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/CT_BRAIN-14   	      10	   2743904 ns/op	 191.07 MB/s	         0.5000 orig-MB	         3.055 ratio	 3186699 B/op	      10 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/CT_BRAIN-14 	      10	   1637842 ns/op	 320.11 MB/s	         0.5000 orig-MB	         3.387 ratio	  524288 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/CT_ANKLE-14   	      10	   1180404 ns/op	 444.16 MB/s	         0.5000 orig-MB	         9.486 ratio	 1634304 B/op	       9 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/CT_ANKLE-14 	      10	   1134938 ns/op	 461.95 MB/s	         0.5000 orig-MB	         4.968 ratio	  524288 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/CT_ORT-14     	      10	   2222829 ns/op	 235.87 MB/s	         0.5000 orig-MB	         2.681 ratio	 2777088 B/op	       9 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/CT_ORT-14   	      10	   1588629 ns/op	 330.03 MB/s	         0.5000 orig-MB	         2.562 ratio	  524288 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/CT_CHEST-14   	      10	   1961192 ns/op	 208.85 MB/s	         0.3906 orig-MB	         2.817 ratio	 2547712 B/op	       9 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/CT_CHEST-14 	      10	   1339300 ns/op	 305.83 MB/s	         0.3906 orig-MB	         2.234 ratio	  409600 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MR_HEAD-14    	      10	    470138 ns/op	 278.80 MB/s	         0.1250 orig-MB	         2.608 ratio	 1053696 B/op	       8 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MR_HEAD-14  	      10	    427450 ns/op	 306.64 MB/s	         0.1250 orig-MB	         2.667 ratio	  131072 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MR_INTERA-14  	      10	   6662350 ns/op	 314.78 MB/s	         2.000 orig-MB	         3.683 ratio	 9316352 B/op	      12 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MR_INTERA-14         	      10	   6311038 ns/op	 332.30 MB/s	         2.000 orig-MB	         5.036 ratio	 2097152 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/DX_HAND-14             	      10	  16764167 ns/op	 248.96 MB/s	         3.980 orig-MB	         2.244 ratio	20520971 B/op	      11 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/DX_HAND-14           	      10	  12547279 ns/op	 332.63 MB/s	         3.980 orig-MB	         2.371 ratio	 4177920 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/DX_CHEST-14            	      10	  16762950 ns/op	 239.90 MB/s	         3.835 orig-MB	         1.664 ratio	19505185 B/op	      10 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/DX_CHEST-14          	      10	  12986617 ns/op	 309.66 MB/s	         3.835 orig-MB	         1.629 ratio	 4022272 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/CR_THORAX-14           	      10	  32171929 ns/op	 242.11 MB/s	         7.428 orig-MB	         1.823 ratio	33832971 B/op	      10 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/CR_THORAX-14         	      10	  23986004 ns/op	 324.74 MB/s	         7.428 orig-MB	         1.813 ratio	 7790592 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/PET1-14                	      10	    453404 ns/op	 289.08 MB/s	         0.1250 orig-MB	         2.742 ratio	 1036288 B/op	       8 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/PET1-14              	      10	    350346 ns/op	 374.12 MB/s	         0.1250 orig-MB	         3.025 ratio	  131072 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/PET2-14                	      10	    416504 ns/op	 314.70 MB/s	         0.1250 orig-MB	         3.387 ratio	 1024000 B/op	       8 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/PET2-14              	      10	    341867 ns/op	 383.40 MB/s	         0.1250 orig-MB	         4.374 ratio	  131072 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/CT_LUNG-14             	      10	   2207438 ns/op	 237.51 MB/s	         0.5000 orig-MB	         2.733 ratio	 2752512 B/op	       9 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/CT_LUNG-14           	      10	   1571483 ns/op	 333.63 MB/s	         0.5000 orig-MB	         2.672 ratio	  524288 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/CT_PANCREAS-14         	      10	   2714042 ns/op	 193.18 MB/s	         0.5000 orig-MB	         2.357 ratio	 3547136 B/op	      10 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/CT_PANCREAS-14       	      10	   1606579 ns/op	 326.34 MB/s	         0.5000 orig-MB	         1.853 ratio	  524288 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MR_BRAIN-14            	      10	    424458 ns/op	 386.00 MB/s	         0.1562 orig-MB	         7.270 ratio	  977408 B/op	       8 allocs/op
