# mic/ojph [mic/ojph.test]
mic_decompress_c.c:22:44: warning: excess elements in array initializer [-Wexcess-initializers]
# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkAllCodecs/MIC-4state-SIMD/CR-14         	      10	  13726679 ns/op	 548.77 MB/s	         3.693 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/CR-14            	      10	  12979738 ns/op	 580.35 MB/s	         3.693 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/CR-14         	      10	  12955350 ns/op	 581.44 MB/s	         3.693 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/CR-14                   	      10	  15290733 ns/op	 492.64 MB/s	         3.693 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/CR-14                	      10	  16348000 ns/op	 460.78 MB/s	         3.693 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/CR-14                   	      10	  23802354 ns/op	 316.47 MB/s	         3.770 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/CR-14                  	      10	  41580800 ns/op	 181.16 MB/s	         3.956 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/CR-14                  	      10	  11970133 ns/op	 629.30 MB/s	         3.691 ratio	47581758 B/op	      34 allocs/op
BenchmarkAllCodecs/PICS-C-2/CR-14                	      10	   8707629 ns/op	 865.08 MB/s	         3.691 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/CR-14                  	      10	   6261567 ns/op	1203.02 MB/s	         3.698 ratio	49484963 B/op	      64 allocs/op
BenchmarkAllCodecs/PICS-C-4/CR-14                	      10	   4253142 ns/op	1771.11 MB/s	         3.698 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/CR-14                  	      10	   3867012 ns/op	1947.96 MB/s	         3.714 ratio	49579884 B/op	     117 allocs/op
BenchmarkAllCodecs/PICS-C-8/CR-14                	      10	   2334271 ns/op	3227.05 MB/s	         3.714 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/XR-14                  	      10	  31598258 ns/op	 334.05 MB/s	         1.738 ratio	46346240 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state/XR-14              	      10	  26715483 ns/op	 395.10 MB/s	         1.738 ratio	46346240 B/op	      10 allocs/op
