# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkJPEGLSDecomp/MR/MIC-14         	      10	    488075 ns/op	 268.55 MB/s	 1230872 B/op	       9 allocs/op
BenchmarkJPEGLSDecomp/MR/MIC-4state-14  	      10	    396142 ns/op	 330.87 MB/s	 1230859 B/op	       9 allocs/op
BenchmarkJPEGLSDecomp/MR/MIC-4state-C-14         	      10	    255717 ns/op	 512.57 MB/s	  131072 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MR/MIC-4state-SIMD-14      	      10	    216758 ns/op	 604.69 MB/s	  131072 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MR/JPEGLS-14               	      10	    939146 ns/op	 139.57 MB/s	  131072 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT/MIC-14                  	      10	   2698408 ns/op	 194.30 MB/s	 3629057 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/CT/MIC-4state-14           	      10	   2165717 ns/op	 242.09 MB/s	 3629091 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/CT/MIC-4state-C-14         	      10	   1379083 ns/op	 380.17 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT/MIC-4state-SIMD-14      	      10	   1411712 ns/op	 371.38 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT/JPEGLS-14               	      10	   3349196 ns/op	 156.54 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CR/MIC-14                  	      10	  22375067 ns/op	 336.66 MB/s	39212612 B/op	      13 allocs/op
BenchmarkJPEGLSDecomp/CR/MIC-4state-14           	      10	  19546675 ns/op	 385.38 MB/s	39212032 B/op	      13 allocs/op
BenchmarkJPEGLSDecomp/CR/MIC-4state-C-14         	      10	  12882217 ns/op	 584.74 MB/s	 7536640 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CR/MIC-4state-SIMD-14      	      10	  12395671 ns/op	 607.70 MB/s	 7536640 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CR/JPEGLS-14               	      10	  37427179 ns/op	 201.27 MB/s	 7536640 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/XR/MIC-14                  	      10	  28427550 ns/op	 371.31 MB/s	46346262 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/XR/MIC-4state-14           	      10	  25608262 ns/op	 412.19 MB/s	46346240 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/XR/MIC-4state-C-14         	      10	  16553596 ns/op	 637.65 MB/s	10559488 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/XR/MIC-4state-SIMD-14      	      10	  16609475 ns/op	 635.50 MB/s	10559488 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/XR/JPEGLS-14               	      10	  74505892 ns/op	 141.67 MB/s	10559488 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG1/MIC-14                 	      10	  17295746 ns/op	 567.10 MB/s	23221281 B/op	      12 allocs/op
BenchmarkJPEGLSDecomp/MG1/MIC-4state-14          	      10	  16351383 ns/op	 599.85 MB/s	23221248 B/op	      12 allocs/op
BenchmarkJPEGLSDecomp/MG1/MIC-4state-C-14        	      10	  11491112 ns/op	 853.56 MB/s	 9814016 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG1/MIC-4state-SIMD-14     	      10	  11999217 ns/op	 817.42 MB/s	 9814016 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG1/JPEGLS-14              	      10	  19668729 ns/op	 498.68 MB/s	 9814016 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG2/MIC-14                 	      10	  17250579 ns/op	 568.58 MB/s	23221248 B/op	      12 allocs/op
BenchmarkJPEGLSDecomp/MG2/MIC-4state-14          	      10	  16325650 ns/op	 600.79 MB/s	23221248 B/op	      12 allocs/op
BenchmarkJPEGLSDecomp/MG2/MIC-4state-C-14        	      10	  11432000 ns/op	 857.97 MB/s	 9814016 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG2/MIC-4state-SIMD-14     	      10	  11404475 ns/op	 860.04 MB/s	 9814016 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG2/JPEGLS-14              	      10	  18815221 ns/op	 521.30 MB/s	 9814016 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG3/MIC-14                 	      10	  77914425 ns/op	 375.48 MB/s	134926336 B/op	      11 allocs/op
BenchmarkJPEGLSDecomp/MG3/MIC-4state-14          	      10	  73769912 ns/op	 396.57 MB/s	134959115 B/op	      11 allocs/op
BenchmarkJPEGLSDecomp/MG3/MIC-4state-C-14        	      10	  51036396 ns/op	 573.22 MB/s	29261824 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG3/MIC-4state-SIMD-14     	      10	  51154900 ns/op	 571.89 MB/s	29261825 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG3/JPEGLS-14              	      10	 161189638 ns/op	 181.49 MB/s	29261824 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG4/MIC-14                 	      10	  61636088 ns/op	 442.32 MB/s	73297920 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/MG4/MIC-4state-14          	      10	  56263754 ns/op	 484.56 MB/s	73297931 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/MG4/MIC-4state-C-14        	      10	  41288562 ns/op	 660.30 MB/s	27262976 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG4/MIC-4state-SIMD-14     	      10	  41064088 ns/op	 663.91 MB/s	27262976 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG4/JPEGLS-14              	      10	 120076462 ns/op	 227.05 MB/s	27262976 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT1/MIC-14                 	      10	   2249025 ns/op	 233.12 MB/s	 2727947 B/op	       9 allocs/op
BenchmarkJPEGLSDecomp/CT1/MIC-4state-14          	      10	   1680425 ns/op	 312.00 MB/s	 2727958 B/op	       9 allocs/op
BenchmarkJPEGLSDecomp/CT1/MIC-4state-C-14        	      10	   1171917 ns/op	 447.38 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT1/MIC-4state-SIMD-14     	      10	   1163717 ns/op	 450.53 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT1/JPEGLS-14              	      10	   2573333 ns/op	 203.74 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT2/MIC-14                 	      10	   2120812 ns/op	 247.21 MB/s	 2711552 B/op	       9 allocs/op
BenchmarkJPEGLSDecomp/CT2/MIC-4state-14          	      10	   1797421 ns/op	 291.69 MB/s	 2711552 B/op	       9 allocs/op
BenchmarkJPEGLSDecomp/CT2/MIC-4state-C-14        	      10	   1118096 ns/op	 468.91 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT2/MIC-4state-SIMD-14     	      10	   1123625 ns/op	 466.60 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT2/JPEGLS-14              	      10	   2700838 ns/op	 194.12 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG-N/MIC-14                	      10	  83545046 ns/op	 342.10 MB/s	134197248 B/op	      11 allocs/op
BenchmarkJPEGLSDecomp/MG-N/MIC-4state-14         	      10	  75414692 ns/op	 378.98 MB/s	134197248 B/op	      11 allocs/op
BenchmarkJPEGLSDecomp/MG-N/MIC-4state-C-14       	      10	  50422188 ns/op	 566.83 MB/s	28581888 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG-N/MIC-4state-SIMD-14    	      10	  51530450 ns/op	 554.64 MB/s	28581888 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG-N/JPEGLS-14             	      10	 160619254 ns/op	 177.94 MB/s	28581888 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MR1/MIC-14                 	      10	   1735717 ns/op	 302.06 MB/s	 2879488 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/MR1/MIC-4state-14          	      10	   1496283 ns/op	 350.39 MB/s	 2879499 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/MR1/MIC-4state-C-14        	      10	    939129 ns/op	 558.27 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MR1/MIC-4state-SIMD-14     	      10	    812667 ns/op	 645.15 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MR1/JPEGLS-14              	      10	   3920900 ns/op	 133.72 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MR2/MIC-14                 	      10	   5925312 ns/op	 353.93 MB/s	10105856 B/op	      12 allocs/op
BenchmarkJPEGLSDecomp/MR2/MIC-4state-14          	      10	   5440375 ns/op	 385.48 MB/s	10105856 B/op	      12 allocs/op
BenchmarkJPEGLSDecomp/MR2/MIC-4state-C-14        	      10	   3815217 ns/op	 549.68 MB/s	 2097152 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MR2/MIC-4state-SIMD-14     	      10	   3725150 ns/op	 562.97 MB/s	 2097152 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MR2/JPEGLS-14              	      10	  10808342 ns/op	 194.03 MB/s	 2097152 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MR3/MIC-14                 	      10	   1323362 ns/op	 396.18 MB/s	 2017280 B/op	       9 allocs/op
BenchmarkJPEGLSDecomp/MR3/MIC-4state-14          	      10	   1228958 ns/op	 426.61 MB/s	 2017291 B/op	       9 allocs/op
BenchmarkJPEGLSDecomp/MR3/MIC-4state-C-14        	      10	    771167 ns/op	 679.86 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MR3/MIC-4state-SIMD-14     	      10	    779508 ns/op	 672.59 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MR3/JPEGLS-14              	      10	   1940167 ns/op	 270.23 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MR4/MIC-14                 	      10	   1568771 ns/op	 334.20 MB/s	 2314251 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/MR4/MIC-4state-14          	      10	   1423079 ns/op	 368.42 MB/s	 2314240 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/MR4/MIC-4state-C-14        	      10	    845662 ns/op	 619.97 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MR4/MIC-4state-SIMD-14     	      10	    807275 ns/op	 649.45 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MR4/JPEGLS-14              	      10	   2317267 ns/op	 226.25 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/NM1/MIC-14                 	      10	   1498529 ns/op	 349.87 MB/s	 2238976 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/NM1/MIC-4state-14          	      10	   1294267 ns/op	 405.09 MB/s	 2238976 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/NM1/MIC-4state-C-14        	      10	    800996 ns/op	 654.55 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/NM1/MIC-4state-SIMD-14     	      10	    755900 ns/op	 693.59 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/NM1/JPEGLS-14              	      10	   2180292 ns/op	 240.47 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/RG1/MIC-14                 	      10	  30079088 ns/op	 239.31 MB/s	33013760 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/RG1/MIC-4state-14          	      10	  24072629 ns/op	 299.02 MB/s	33013771 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/RG1/MIC-4state-C-14        	      10	  17901750 ns/op	 402.10 MB/s	 7200768 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/RG1/MIC-4state-SIMD-14     	      10	  18121462 ns/op	 397.23 MB/s	 7200768 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/RG1/JPEGLS-14              	      10	  62376762 ns/op	 115.40 MB/s	 7200768 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/RG2/MIC-14                 	      10	  19443262 ns/op	 387.42 MB/s	28423168 B/op	      12 allocs/op
BenchmarkJPEGLSDecomp/RG2/MIC-4state-14          	      10	  17498442 ns/op	 430.48 MB/s	28423168 B/op	      12 allocs/op
BenchmarkJPEGLSDecomp/RG2/MIC-4state-C-14        	      10	  11825708 ns/op	 636.99 MB/s	 7536640 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/RG2/MIC-4state-SIMD-14     	      10	  12255467 ns/op	 614.65 MB/s	 7536640 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/RG2/JPEGLS-14              	      10	  33873646 ns/op	 222.38 MB/s	 7536640 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/RG3/MIC-14                 	      10	  15246708 ns/op	 406.33 MB/s	22500352 B/op	      13 allocs/op
BenchmarkJPEGLSDecomp/RG3/MIC-4state-14          	      10	  14031721 ns/op	 441.51 MB/s	22500352 B/op	      13 allocs/op
BenchmarkJPEGLSDecomp/RG3/MIC-4state-C-14        	      10	   9868617 ns/op	 627.77 MB/s	 6201344 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/RG3/MIC-4state-SIMD-14     	      10	   9735583 ns/op	 636.35 MB/s	 6201344 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/RG3/JPEGLS-14              	      10	  21644658 ns/op	 286.22 MB/s	 6201344 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/SC1/MIC-14                 	      10	  25457888 ns/op	 400.14 MB/s	33517568 B/op	      11 allocs/op
BenchmarkJPEGLSDecomp/SC1/MIC-4state-14          	      10	  23866308 ns/op	 426.83 MB/s	33574912 B/op	      11 allocs/op
BenchmarkJPEGLSDecomp/SC1/MIC-4state-C-14        	      10	  16624504 ns/op	 612.76 MB/s	10190848 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/SC1/MIC-4state-SIMD-14     	      10	  16856733 ns/op	 604.31 MB/s	10190848 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/SC1/JPEGLS-14              	      10	  39660296 ns/op	 256.85 MB/s	10190848 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/XA1/MIC-14                 	      10	   5918396 ns/op	 354.34 MB/s	10717696 B/op	      13 allocs/op
BenchmarkJPEGLSDecomp/XA1/MIC-4state-14          	      10	   5345983 ns/op	 392.29 MB/s	10717696 B/op	      13 allocs/op
BenchmarkJPEGLSDecomp/XA1/MIC-4state-C-14        	      10	   3572233 ns/op	 587.07 MB/s	 2097152 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/XA1/MIC-4state-SIMD-14     	      10	   3434975 ns/op	 610.53 MB/s	 2097152 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/XA1/JPEGLS-14              	      10	   8657717 ns/op	 242.23 MB/s	 2097152 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT_BRAIN/MIC-14            	      10	   2499762 ns/op	 209.74 MB/s	 3186688 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/CT_BRAIN/MIC-4state-14     	      10	   2097475 ns/op	 249.96 MB/s	 3186688 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/CT_BRAIN/MIC-4state-C-14   	      10	   1335971 ns/op	 392.44 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT_BRAIN/MIC-4state-SIMD-14         	      10	   1149633 ns/op	 456.05 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT_BRAIN/JPEGLS-14                  	      10	   2913325 ns/op	 179.96 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT_ANKLE/MIC-14                     	      10	   1061050 ns/op	 494.12 MB/s	 1634315 B/op	       9 allocs/op
BenchmarkJPEGLSDecomp/CT_ANKLE/MIC-4state-14              	      10	   1091471 ns/op	 480.35 MB/s	 1634326 B/op	       9 allocs/op
