BenchmarkAllCodecs/PICS-2/CT-16                  	      10	   2141164 ns/op	 244.86 MB/s	         2.214 ratio	 4546928 B/op	      25 allocs/op
BenchmarkAllCodecs/PICS-C-2/CT-16                	      10	   1343750 ns/op	 390.17 MB/s	         2.214 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/CT-16                  	      10	   1594670 ns/op	 328.78 MB/s	         2.145 ratio	 6448097 B/op	      45 allocs/op
BenchmarkAllCodecs/PICS-C-4/CT-16                	      10	    813032 ns/op	 644.86 MB/s	         2.145 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/CT-16                  	      10	   1468829 ns/op	 356.94 MB/s	         1.962 ratio	10319342 B/op	      87 allocs/op
BenchmarkAllCodecs/PICS-C-8/CT-16                	      10	    726551 ns/op	 721.61 MB/s	         1.962 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/CR-16                  	      10	  30767136 ns/op	 244.83 MB/s	         3.693 ratio	39212032 B/op	      13 allocs/op
BenchmarkAllCodecs/MIC-4state/CR-16              	      10	  29027660 ns/op	 259.50 MB/s	         3.693 ratio	39212032 B/op	      13 allocs/op
BenchmarkAllCodecs/MIC-8state/CR-16              	      10	  28261431 ns/op	 266.54 MB/s	         3.693 ratio	39212032 B/op	      13 allocs/op
BenchmarkAllCodecs/MIC-4state-C/CR-16            	      10	  17841381 ns/op	 422.21 MB/s	         3.693 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/CR-16         	      10	  14763129 ns/op	 510.24 MB/s	         3.693 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/CR-16            	      10	  15971357 ns/op	 471.64 MB/s	         3.693 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/CR-16         	      10	  13298329 ns/op	 566.45 MB/s	         3.693 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/CR-16                   	      10	  21360336 ns/op	 352.65 MB/s	         3.693 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/CR-16                	      10	  18134667 ns/op	 415.38 MB/s	         3.693 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/CR-16                   	      10	  17159209 ns/op	 438.99 MB/s	         3.770 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/CR-16                  	      10	  61166007 ns/op	 123.15 MB/s	         3.956 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/CR-16                  	      10	  19637814 ns/op	 383.59 MB/s	         3.691 ratio	47581660 B/op	      34 allocs/op
BenchmarkAllCodecs/PICS-C-2/CR-16                	      10	   9779464 ns/op	 770.27 MB/s	         3.691 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/CR-16                  	      10	  12297137 ns/op	 612.57 MB/s	         3.698 ratio	49485190 B/op	      65 allocs/op
BenchmarkAllCodecs/PICS-C-4/CR-16                	      10	   5350706 ns/op	1407.81 MB/s	         3.698 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/CR-16                  	      10	   7809047 ns/op	 964.62 MB/s	         3.714 ratio	49580483 B/op	     118 allocs/op
BenchmarkAllCodecs/PICS-C-8/CR-16                	      10	   3099871 ns/op	2430.04 MB/s	         3.714 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/XR-16                  	      10	  39952092 ns/op	 264.20 MB/s	         1.738 ratio	46346240 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state/XR-16              	      10	  38075694 ns/op	 277.22 MB/s	         1.738 ratio	46346240 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-8state/XR-16              	      10	  38034150 ns/op	 277.52 MB/s	         1.738 ratio	46346240 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state-C/XR-16            	      10	  24571566 ns/op	 429.58 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/XR-16         	      10	  18962958 ns/op	 556.63 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/XR-16            	      10	  22430203 ns/op	 470.59 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/XR-16         	      10	  17096400 ns/op	 617.40 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/XR-16                   	      10	  29859229 ns/op	 353.51 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/XR-16                	      10	  24435600 ns/op	 431.97 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/XR-16                   	      10	  27324471 ns/op	 386.30 MB/s	         1.670 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/XR-16                  	      10	 120602142 ns/op	  87.52 MB/s	         1.761 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/XR-16                  	      10	  23677978 ns/op	 445.79 MB/s	         1.748 ratio	57508208 B/op	      28 allocs/op
BenchmarkAllCodecs/PICS-C-2/XR-16                	      10	  12911892 ns/op	 817.49 MB/s	         1.748 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/XR-16                  	      10	  15922490 ns/op	 662.92 MB/s	         1.753 ratio	58999488 B/op	      52 allocs/op
BenchmarkAllCodecs/PICS-C-4/XR-16                	      10	   7336675 ns/op	1438.72 MB/s	         1.753 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/XR-16                  	      10	  10450810 ns/op	1010.01 MB/s	         1.755 ratio	62155312 B/op	     102 allocs/op
BenchmarkAllCodecs/PICS-C-8/XR-16                	      10	   4241854 ns/op	2488.39 MB/s	         1.755 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/MG1-16                 	      10	  23154138 ns/op	 423.61 MB/s	         8.786 ratio	23221248 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-4state/MG1-16             	      10	  22429449 ns/op	 437.30 MB/s	         8.785 ratio	23221248 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-8state/MG1-16             	      10	  22477784 ns/op	 436.36 MB/s	         8.784 ratio	23221248 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MG1-16           	      10	  16302758 ns/op	 601.64 MB/s	         8.785 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MG1-16        	      10	  10914916 ns/op	 898.62 MB/s	         8.785 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/MG1-16           	      10	  15537904 ns/op	 631.25 MB/s	         8.784 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/MG1-16        	      10	  10738404 ns/op	 913.39 MB/s	         8.784 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MG1-16                  	      10	  17894298 ns/op	 548.13 MB/s	         8.786 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MG1-16               	      10	  12780787 ns/op	 767.43 MB/s	         8.786 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MG1-16                  	      10	  10808917 ns/op	 907.43 MB/s	         8.251 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MG1-16                 	      10	  29522703 ns/op	 332.23 MB/s	         8.911 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MG1-16                 	      10	  13817629 ns/op	 709.84 MB/s	         8.797 ratio	33851849 B/op	      32 allocs/op
BenchmarkAllCodecs/PICS-C-2/MG1-16               	      10	   7402667 ns/op	1324.97 MB/s	         8.797 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/MG1-16                 	      10	   9370098 ns/op	1046.77 MB/s	         8.839 ratio	33723251 B/op	      54 allocs/op
BenchmarkAllCodecs/PICS-C-4/MG1-16               	      10	   5288145 ns/op	1854.78 MB/s	         8.839 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MG1-16                 	      10	   6928866 ns/op	1415.58 MB/s	         8.869 ratio	34966158 B/op	      97 allocs/op
BenchmarkAllCodecs/PICS-C-8/MG1-16               	      10	   3560507 ns/op	2754.76 MB/s	         8.869 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/MG2-16                 	      10	  24039228 ns/op	 408.01 MB/s	         8.774 ratio	23221248 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-4state/MG2-16             	      10	  23192393 ns/op	 422.91 MB/s	         8.773 ratio	23221248 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-8state/MG2-16             	      10	  22922684 ns/op	 427.89 MB/s	         8.773 ratio	23221248 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MG2-16           	      10	  16461771 ns/op	 595.83 MB/s	         8.773 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MG2-16        	      10	  11206299 ns/op	 875.25 MB/s	         8.773 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/MG2-16           	      10	  15557508 ns/op	 630.46 MB/s	         8.773 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/MG2-16        	      10	  10662764 ns/op	 919.87 MB/s	         8.773 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MG2-16                  	      10	  18211222 ns/op	 538.59 MB/s	         8.774 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MG2-16               	      10	  12929563 ns/op	 758.60 MB/s	         8.774 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MG2-16                  	      10	  10947939 ns/op	 895.91 MB/s	         8.238 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MG2-16                 	      10	  29449377 ns/op	 333.06 MB/s	         8.901 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MG2-16                 	      10	  13472677 ns/op	 728.02 MB/s	         8.786 ratio	33859952 B/op	      32 allocs/op
BenchmarkAllCodecs/PICS-C-2/MG2-16               	      10	   7178548 ns/op	1366.34 MB/s	         8.786 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/MG2-16                 	      10	   9350108 ns/op	1049.01 MB/s	         8.827 ratio	33673929 B/op	      54 allocs/op
