# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkHTJ2KFairDecomp/MIC/RG1-14        	      10	  27340308 ns/op	 263.29 MB/s	         6.865 orig-MB	         1.698 ratio	33013760 B/op	      10 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/RG1-14      	      10	  20405250 ns/op	 352.77 MB/s	         6.865 orig-MB	         1.631 ratio	 7200768 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/RG2-14        	      10	  17033871 ns/op	 442.22 MB/s	         7.184 orig-MB	         4.230 ratio	28423168 B/op	      12 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/RG2-14      	      10	  17803462 ns/op	 423.11 MB/s	         7.184 orig-MB	         4.316 ratio	 7536640 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/RG3-14        	      10	  14102504 ns/op	 439.30 MB/s	         5.908 orig-MB	         6.080 ratio	22500352 B/op	      13 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/RG3-14      	      10	  12658162 ns/op	 489.42 MB/s	         5.908 orig-MB	         6.989 ratio	 6201344 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/SC1-14        	      10	  22257633 ns/op	 457.67 MB/s	         9.715 orig-MB	         3.712 ratio	33517568 B/op	      11 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/SC1-14      	      10	  26080329 ns/op	 390.59 MB/s	         9.715 orig-MB	         3.850 ratio	10190848 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/XA1-14        	      10	   5121733 ns/op	 409.46 MB/s	         2.000 orig-MB	         5.010 ratio	10717707 B/op	      13 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/XA1-14      	      10	   5261921 ns/op	 398.55 MB/s	         2.000 orig-MB	         4.883 ratio	 2097152 B/op	       1 allocs/op
PASS
ok  	mic/ojph	10.801s
