# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkAllCodecs/MIC-Go/MR-14         	      10	    695712 ns/op	 188.40 MB/s	         2.353 ratio	 1230870 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-4state/MR-14     	      10	    506462 ns/op	 258.80 MB/s	         2.353 ratio	 1230870 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-8state/MR-14     	      10	    528008 ns/op	 248.24 MB/s	         2.352 ratio	 1230892 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MR-14   	      10	    278962 ns/op	 469.86 MB/s	         2.353 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MR-14         	      10	    270533 ns/op	 484.49 MB/s	         2.353 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/MR-14            	      10	    232475 ns/op	 563.81 MB/s	         2.352 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/MR-14         	      10	    226121 ns/op	 579.65 MB/s	         2.352 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MR-14                   	      10	    299142 ns/op	 438.16 MB/s	         2.353 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MR-14                	      10	    296000 ns/op	 442.81 MB/s	         2.353 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MR-14                   	      10	    435012 ns/op	 301.31 MB/s	         2.379 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MR-14                  	      10	    898104 ns/op	 145.94 MB/s	         2.523 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MR-14                  	      10	    333296 ns/op	 393.26 MB/s	         2.325 ratio	 1881252 B/op	      25 allocs/op
BenchmarkAllCodecs/PICS-C-2/MR-14                	      10	    192042 ns/op	 682.52 MB/s	         2.325 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/MR-14                  	      10	    307583 ns/op	 426.13 MB/s	         2.284 ratio	 3480963 B/op	      49 allocs/op
BenchmarkAllCodecs/PICS-C-4/MR-14                	      10	    148438 ns/op	 883.01 MB/s	         2.284 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MR-14                  	      10	    479771 ns/op	 273.20 MB/s	         2.214 ratio	 6157376 B/op	      98 allocs/op
BenchmarkAllCodecs/PICS-C-8/MR-14                	      10	    192196 ns/op	 681.97 MB/s	         2.214 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/CT-14                  	      10	   2250271 ns/op	 232.99 MB/s	         2.237 ratio	 3629056 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state/CT-14              	      10	   1754338 ns/op	 298.85 MB/s	         2.237 ratio	 3629068 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-8state/CT-14              	      10	   1626404 ns/op	 322.36 MB/s	         2.237 ratio	 3629056 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state-C/CT-14            	      10	   1304442 ns/op	 401.93 MB/s	         2.237 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/CT-14         	      10	   1308029 ns/op	 400.82 MB/s	         2.237 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/CT-14            	      10	   1125983 ns/op	 465.63 MB/s	         2.237 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/CT-14         	      10	   1023783 ns/op	 512.11 MB/s	         2.237 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/CT-14                   	      10	   1569654 ns/op	 334.01 MB/s	         2.237 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/CT-14                	      10	   1542121 ns/op	 339.98 MB/s	         2.237 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/CT-14                   	      10	   1473371 ns/op	 355.84 MB/s	         1.771 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/CT-14                  	      10	   2804408 ns/op	 186.95 MB/s	         2.676 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/CT-14                  	      10	   1305717 ns/op	 401.53 MB/s	         2.214 ratio	 4546976 B/op	      25 allocs/op
BenchmarkAllCodecs/PICS-C-2/CT-14                	      10	    900062 ns/op	 582.50 MB/s	         2.214 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/CT-14                  	      10	    897954 ns/op	 583.87 MB/s	         2.145 ratio	 6448454 B/op	      46 allocs/op
BenchmarkAllCodecs/PICS-C-4/CT-14                	      10	    479838 ns/op	1092.64 MB/s	         2.145 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/CT-14                  	      10	    882808 ns/op	 593.89 MB/s	         1.962 ratio	10319290 B/op	      87 allocs/op
BenchmarkAllCodecs/PICS-C-8/CT-14                	      10	    373029 ns/op	1405.49 MB/s	         1.962 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/CR-14                  	      10	  19648029 ns/op	 383.39 MB/s	         3.693 ratio	39212032 B/op	      13 allocs/op
BenchmarkAllCodecs/MIC-4state/CR-14              	      10	  17525508 ns/op	 429.82 MB/s	         3.693 ratio	39212032 B/op	      13 allocs/op
