# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkAllCodecs/PICS-C-4/CR-14                	      10	   3812700 ns/op	1975.71 MB/s	         3.698 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/CR-14                  	      10	   3727900 ns/op	2020.66 MB/s	         3.714 ratio	49580837 B/op	     119 allocs/op
BenchmarkAllCodecs/PICS-C-8/CR-14                	      10	   2089296 ns/op	3605.43 MB/s	         3.714 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/XR-14                  	      10	  27271450 ns/op	 387.05 MB/s	         1.738 ratio	46346240 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state/XR-14              	      10	  24635350 ns/op	 428.47 MB/s	         1.738 ratio	46346240 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state-C/XR-14            	      10	  15466021 ns/op	 682.49 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/XR-14         	      10	  15416908 ns/op	 684.66 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/XR-14                   	      10	  17754346 ns/op	 594.52 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/XR-14                	      10	  17692471 ns/op	 596.60 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/XR-14                   	      10	  28107071 ns/op	 375.54 MB/s	         1.670 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/XR-14                  	      10	  69592800 ns/op	 151.67 MB/s	         1.761 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/XR-14                  	      10	  14403371 ns/op	 732.84 MB/s	         1.748 ratio	57508352 B/op	      28 allocs/op
BenchmarkAllCodecs/PICS-C-2/XR-14                	      10	   9710246 ns/op	1087.04 MB/s	         1.748 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/XR-14                  	      10	   7867188 ns/op	1341.70 MB/s	         1.753 ratio	58999547 B/op	      52 allocs/op
BenchmarkAllCodecs/PICS-C-4/XR-14                	      10	   5213871 ns/op	2024.48 MB/s	         1.753 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/XR-14                  	      10	   4674329 ns/op	2258.16 MB/s	         1.755 ratio	62155180 B/op	     102 allocs/op
BenchmarkAllCodecs/PICS-C-8/XR-14                	      10	   2782167 ns/op	3793.95 MB/s	         1.755 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/MG1-14                 	      10	  17010354 ns/op	 576.61 MB/s	         8.786 ratio	23221248 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-4state/MG1-14             	      10	  16102571 ns/op	 609.12 MB/s	         8.785 ratio	23221248 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MG1-14           	      10	  11572429 ns/op	 847.56 MB/s	         8.785 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MG1-14        	      10	  11502883 ns/op	 852.69 MB/s	         8.785 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MG1-14                  	      10	  11995217 ns/op	 817.69 MB/s	         8.786 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MG1-14               	      10	  12139217 ns/op	 807.99 MB/s	         8.786 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MG1-14                  	      10	  14551467 ns/op	 674.05 MB/s	         8.251 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MG1-14                 	      10	  18519654 ns/op	 529.62 MB/s	         8.911 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MG1-14                 	      10	   8789133 ns/op	1115.96 MB/s	         8.797 ratio	33851760 B/op	      32 allocs/op
BenchmarkAllCodecs/PICS-C-2/MG1-14               	      10	   6414779 ns/op	1529.02 MB/s	         8.797 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/MG1-14                 	      10	   6145008 ns/op	1596.15 MB/s	         8.839 ratio	33723216 B/op	      54 allocs/op
BenchmarkAllCodecs/PICS-C-4/MG1-14               	      10	   3877983 ns/op	2529.24 MB/s	         8.839 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MG1-14                 	      10	   3457483 ns/op	2836.84 MB/s	         8.869 ratio	34966256 B/op	      97 allocs/op
BenchmarkAllCodecs/PICS-C-8/MG1-14               	      10	   2207412 ns/op	4443.37 MB/s	         8.869 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/MG2-14                 	      10	  16729971 ns/op	 586.27 MB/s	         8.774 ratio	23221248 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-4state/MG2-14             	      10	  15959833 ns/op	 614.56 MB/s	         8.773 ratio	23221248 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MG2-14           	      10	  11188483 ns/op	 876.65 MB/s	         8.773 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MG2-14        	      10	  11240771 ns/op	 872.57 MB/s	         8.773 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MG2-14                  	      10	  12121971 ns/op	 809.14 MB/s	         8.774 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MG2-14               	      10	  11962254 ns/op	 819.94 MB/s	         8.774 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MG2-14                  	      10	  14325917 ns/op	 684.66 MB/s	         8.239 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MG2-14                 	      10	  18079375 ns/op	 542.52 MB/s	         8.901 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MG2-14                 	      10	   8814654 ns/op	1112.73 MB/s	         8.786 ratio	33859963 B/op	      32 allocs/op
BenchmarkAllCodecs/PICS-C-2/MG2-14               	      10	   6921471 ns/op	1417.09 MB/s	         8.786 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/MG2-14                 	      10	   5696121 ns/op	1721.93 MB/s	         8.827 ratio	33674064 B/op	      54 allocs/op
BenchmarkAllCodecs/PICS-C-4/MG2-14               	      10	   3914271 ns/op	2505.79 MB/s	         8.827 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MG2-14                 	      10	   3346029 ns/op	2931.34 MB/s	         8.854 ratio	34966880 B/op	      98 allocs/op
BenchmarkAllCodecs/PICS-C-8/MG2-14               	      10	   2139217 ns/op	4585.02 MB/s	         8.854 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/MG3-14                 	      10	  74159658 ns/op	 385.40 MB/s	         2.237 ratio	134926336 B/op	      11 allocs/op
BenchmarkAllCodecs/MIC-4state/MG3-14             	      10	  66582525 ns/op	 429.26 MB/s	         2.236 ratio	134959104 B/op	      11 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MG3-14           	      10	  41974838 ns/op	 680.91 MB/s	         2.236 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MG3-14        	      10	  42027558 ns/op	 680.05 MB/s	         2.236 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MG3-14                  	      10	  49136254 ns/op	 581.67 MB/s	         2.237 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MG3-14               	      10	  50105375 ns/op	 570.42 MB/s	         2.237 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MG3-14                  	      10	  78435362 ns/op	 364.39 MB/s	         2.223 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MG3-14                 	      10	 141312092 ns/op	 202.25 MB/s	         2.378 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MG3-14                 	      10	  40440108 ns/op	 706.75 MB/s	         2.271 ratio	163389819 B/op	      30 allocs/op
BenchmarkAllCodecs/PICS-C-2/MG3-14               	      10	  25696454 ns/op	1112.25 MB/s	         2.271 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/MG3-14                 	      10	  20833471 ns/op	1371.88 MB/s	         2.308 ratio	163398336 B/op	      56 allocs/op
BenchmarkAllCodecs/PICS-C-4/MG3-14               	      10	  14958938 ns/op	1910.63 MB/s	         2.308 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MG3-14                 	      10	  11744442 ns/op	2433.58 MB/s	         2.335 ratio	165521024 B/op	     108 allocs/op
BenchmarkAllCodecs/PICS-C-8/MG3-14               	      10	   7482275 ns/op	3819.83 MB/s	         2.335 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/MG4-14                 	      10	  54163796 ns/op	 503.34 MB/s	         3.474 ratio	73297920 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state/MG4-14             	      10	  50983242 ns/op	 534.74 MB/s	         3.473 ratio	73297920 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MG4-14           	      10	  34195058 ns/op	 797.28 MB/s	         3.473 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MG4-14        	      10	  35195312 ns/op	 774.62 MB/s	         3.473 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MG4-14                  	      10	  38207283 ns/op	 713.55 MB/s	         3.474 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MG4-14               	      10	  37631508 ns/op	 724.47 MB/s	         3.474 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MG4-14                  	      10	  52004392 ns/op	 524.24 MB/s	         3.506 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MG4-14                 	      10	 105632767 ns/op	 258.09 MB/s	         3.705 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MG4-14                 	      10	  29179775 ns/op	 934.31 MB/s	         3.517 ratio	100761968 B/op	      28 allocs/op
